,Gold,SP500
1990-01-01,0.0060129249463424,0.023965542758116326
1990-01-02,-0.010951668982661747,0.005801369582766086
1990-01-03,0.013018021421494604,-0.0018928350288377664
1990-01-04,-0.008587097028393671,0.025885325203581406
1990-01-05,0.010467940508055001,-0.012666461524273483
1990-01-08,0.024011960364905535,0.012668017559436154
1990-01-09,-0.024298168240233294,-0.0057144434468430145
1990-01-10,-0.005536939759175948,0.017540450594830972
1990-01-11,-0.005868808742567316,0.036597867654117495
1990-01-12,-0.004632534714813222,0.003026621912152301
1990-01-15,-0.003462848058151922,-0.015846313530707937
1990-01-16,-0.006066525695958795,0.004941230454742292
1990-01-17,0.01895611918577977,0.012914197562900192
1990-01-18,0.01968114556113767,-0.02636283808122698
1990-01-19,0.007750530422259054,0.011578636430811601
1990-01-22,-0.03128804392990481,0.020905022697896417
1990-01-23,-0.0034198101363156113,-0.0019844568606051695
1990-01-24,-0.012060989969988055,-0.020951116587727178
1990-01-25,-0.0059219608667578924,0.00045069536617115685
1990-01-26,0.004590400019679913,-0.0023146825422757115
1990-01-29,-0.011060631279777593,0.009153164086482788
1990-01-30,-0.011032463516718107,0.012517439662798124
1990-01-31,-0.025036714381516653,-0.07848637008455424
1990-02-01,0.008300499924824883,-0.004039962571945319
1990-02-02,0.005720934127542597,-0.012943272115232347
1990-02-05,0.014610685988478435,-0.023369460641677265
1990-02-06,-0.02116262861297373,-0.00620280492125819
1990-02-07,-0.010586907229547119,0.031403158287871026
1990-02-08,-0.0021293182686975736,0.020471387597824804
1990-02-09,-0.006564339586020314,-0.0067707558018916154
1990-02-12,-0.011798987096616842,0.006626085023626442
1990-02-13,0.0035952166213319686,0.0026032529743534693
1990-02-14,-0.004817980042437425,0.07582942959011195
1990-02-15,0.014371842409049538,0.008378320048998359
1990-02-16,-0.00934089947539596,0.017436286194556897
1990-02-19,0.016640229486699326,-0.010366656202535244
1990-02-20,6.48996424753287e-05,-0.008549541313969008
1990-02-21,-0.00515968757484993,-0.023904464815734223
1990-02-22,-0.0015332651208303726,0.013324723173668954
1990-02-23,-0.00623185852919567,0.01130554770875408
1990-02-26,-0.02202661124719179,0.011447934014786379
1990-02-27,0.001438805205702852,-0.012969715011143473
1990-02-28,-0.001908637527370066,0.05551370262880221
1990-03-01,0.0038664090147969934,0.01963442428863396
1990-03-02,0.009475623706422664,0.01670892528644068
1990-03-05,-0.005332909525740733,0.01397418727492446
1990-03-06,0.0030668867403374094,0.009019559444774937
1990-03-07,-0.003841483163899502,-0.0038459636002453742
1990-03-08,0.0014556612784713428,-0.030889710530474335
1990-03-09,0.00012407902043230011,0.005690699689281886
1990-03-12,-0.009816498129294865,0.004793212033622797
1990-03-13,0.007595101936189467,0.017014528679361013
1990-03-14,-0.010391292353153747,-0.01976759446604673
1990-03-15,-0.003189689262027241,-0.0233940361217697
1990-03-16,0.0015513442497162972,-0.007654589545174472
1990-03-19,-0.0040600867768767444,-0.0027514593180911593
1990-03-20,0.002130822834129418,0.015174539033060477
1990-03-21,0.023507035122629333,-0.00913541213976618
1990-03-22,0.002438908073387918,0.011399047379516386
1990-03-23,0.0018109075868535335,-0.010139326826814399
1990-03-26,0.004828189829688936,0.0014038922516898878
1990-03-27,0.004017240749501978,0.0056937536338523475
1990-03-28,-0.010242447079772092,0.040079175023246344
1990-03-29,-0.016210709590603074,-0.005982597194331591
1990-03-30,0.009125540673854342,0.003333525327179513
1990-04-02,-0.00920935506102127,0.055471348009525495
1990-04-03,-0.015583599754897641,0.004109017114876619
1990-04-04,0.01117999037007502,-0.019004018698006192
1990-04-05,8.456086080570728e-05,0.0014512947089664605
1990-04-06,-0.016205475825153658,-0.00329733323468525
1990-04-09,-0.009860479719134441,0.04149281272894939
1990-04-10,-0.0010337328597280029,0.03776898359038688
1990-04-11,-0.024709312433373376,0.04163542966837124
1990-04-12,-0.013597923812348731,-0.01129257204887465
1990-04-13,0.001659123333055609,0.005631317102569254
1990-04-16,0.004028984472467677,-0.00726031088792458
1990-04-17,0.0012674485394923254,-0.0034706874494246833
1990-04-18,0.0064566350954407305,0.01983553982205509
1990-04-19,-0.026079360257565357,-0.003336728916299391
1990-04-20,0.0030784198367022515,0.010312022652006939
1990-04-23,0.003485450750790016,0.002739775993785997
1990-04-24,0.013064683197353573,0.0011967664892931827
1990-04-25,0.00798798951401166,0.0035678085444889127
1990-04-26,-0.004323867952841792,-0.008807134666714195
1990-04-27,-0.025998554003946066,-0.0015663007707494934
1990-04-30,0.0011515406914025226,0.007906236374927133
1990-05-01,0.0068471317410985525,0.021117104954713604
1990-05-02,0.002138100532003173,0.016206115133886784
1990-05-03,0.0010718774646868649,0.014866127716228512
1990-05-04,0.019219815198324483,-0.01153516991547355
1990-05-07,-0.009485662756959739,-0.015465132202356008
1990-05-08,-0.004703956940829266,-0.012224365040751965
1990-05-09,-0.0075492327764360104,0.014190101962005534
1990-05-10,0.006535401332008427,0.0024712303084131024
1990-05-11,0.015891587319273662,-0.016136632327307047
1990-05-14,-0.017607352689811215,-0.016941855363283725
1990-05-15,0.0036487279188092904,0.02139488070799425
1990-05-16,-0.000366789636470308,-0.00035238578515048205
1990-05-17,-0.005939047531183409,0.020066371245188168
1990-05-18,0.010468463499579582,0.01040824760691518
1990-05-21,0.03932531932749455,0.008269033215482136
1990-05-22,0.0031681357951970795,-0.024170384376236642
1990-05-23,0.0030690487350487467,-0.0032908294414955882
1990-05-24,0.006929732899322819,0.0024835579349578433
1990-05-25,0.037016501149028776,0.016401313469011466
1990-05-28,0.007539090633428408,0.005246398848916755
1990-05-29,0.004388189864697412,-0.022805248777345802
1990-05-30,0.012656424017743327,-0.007990085885429704
1990-05-31,-0.004712678334807583,0.0030118711747690713
1990-06-01,0.006193575116594333,0.0037906289207857327
1990-06-04,0.007061789739944092,0.03129267807147322
1990-06-05,0.009066781191666424,-0.009149511779549112
1990-06-06,-0.0002246886939224733,0.001550406400203112
1990-06-07,-0.004791829150500571,-0.008882345022912026
1990-06-08,-0.001592863509622462,-0.007142952215174425
1990-06-11,-0.00411681427135401,-0.007713159855919819
1990-06-12,0.014659970281699844,-0.006268863803946927
1990-06-13,-0.001909825746396985,0.015035970769984724
1990-06-14,0.003908804511246305,0.005714174304155932
1990-06-15,0.01415709375220465,-0.00036117253080234245
1990-06-18,-0.023070239268414897,-0.010080435111733732
1990-06-19,0.006599349634389885,0.019742274199172263
1990-06-20,-0.0002258370506228018,-0.008607707137129434
1990-06-21,-0.012324046761959041,-0.013419623475437403
1990-06-22,-0.010947932897956019,0.009220290594634332
1990-06-25,0.004117478241997468,-0.007427237290012924
1990-06-26,0.0035851701424023793,0.031911485123961525
1990-06-27,0.004433398120501443,-0.050149157723922706
1990-06-28,-0.03859646880324698,0.011251057743298211
1990-06-29,-0.004452214303911224,0.014037248411159857
1990-07-02,0.0020080410018349444,0.024541387683260377
1990-07-03,-0.003435288074808604,-0.010844478047956256
1990-07-04,0.005693961615454751,0.00995588021660813
1990-07-05,0.005364343068425152,0.025403597787030132
1990-07-06,0.00954160516789612,-0.0004822885007260448
1990-07-09,0.0005306832874988015,-0.007582171546638099
1990-07-10,0.001666877116169464,0.028114305590460752
1990-07-11,0.02161519982311851,-0.01368666288375778
1990-07-12,0.03661869515959983,0.009178491426527898
1990-07-13,-0.0008473540604725359,0.014541564834670262
1990-07-16,-0.012940544685721405,-0.0022920011222554207
1990-07-17,0.039928552304548205,-0.010067421523115893
1990-07-18,0.0019530601297987815,0.02184018324042941
1990-07-19,0.0043732374486684334,0.008952650810114603
1990-07-20,-0.007644831937937028,-0.0054133126692587725
1990-07-23,-0.0009569241311722915,-0.010944730853583775
1990-07-24,-0.011506275634408442,-0.009787260575622127
1990-07-25,0.0027615482369753304,-0.003846067784145311
1990-07-26,-0.024570702841453636,-0.009761245149564229
1990-07-27,0.002572831165043988,0.007438525533278059
1990-07-30,5.8187931366004614e-05,-0.011379715044600298
1990-07-31,-0.009846470227076253,0.005095339611063842
1990-08-01,0.0010935339206380704,-0.004319224736133457
1990-08-02,0.006707705393309672,-0.01738539432049519
1990-08-03,0.005587546871847119,0.0001320731412411725
1990-08-06,0.0007242912252325637,-0.008172540335471622
1990-08-07,0.012206554520312827,-0.025812496026736083
1990-08-08,-0.01317689410085466,0.00272623504339364
1990-08-09,0.004313866037156691,0.011914147448479302
1990-08-10,-0.005813563807962489,-0.018934487946169233
1990-08-13,0.038816293582614105,-0.01418069596467007
1990-08-14,0.010720005588009722,-0.008584636631822915
1990-08-15,0.01646710244978431,0.007091249226408951
1990-08-16,0.009620059661399475,0.006010428049276925
1990-08-17,-0.019822046690755362,-0.002281228969518415
1990-08-20,-5.8954819723302974e-05,-0.025719699936865008
1990-08-21,-0.011159014840970646,0.008135790430209355
1990-08-22,-0.010118809111735103,0.026745365697271803
1990-08-23,-0.00048240231870653685,0.0034685937193094573
1990-08-24,-0.006426763336833877,0.04425497226744291
1990-08-27,-0.00915941498643431,-0.006844961140839986
1990-08-28,-0.017817175274717136,-0.009326901750690545
1990-08-29,0.021919112916522095,-0.016882781296078415
1990-08-30,0.003631752607185944,-0.008674347028523734
1990-08-31,-0.0014160262023087044,0.009212779540888337
1990-09-03,-0.0065239629008473615,-0.016149749406064257
1990-09-04,-0.004304854740310297,0.007565335681347119
1990-09-05,-0.019442839514505855,0.008434419201461022
1990-09-06,0.0060267054949474565,0.006448143481822949
1990-09-07,0.0025170258450568465,0.0037062487925381008
1990-09-10,0.002522095586857771,0.013120791199231804
1990-09-11,-0.0007566675691410016,0.005134936336312046
1990-09-12,-0.011121434448575662,0.01845487302160625
1990-09-13,0.010363049157550793,-0.016373872623517863
1990-09-14,0.007357321364655786,-0.0014066595219258248
1990-09-17,0.020519736781976175,0.014479950484319989
1990-09-18,-0.0012611354802146285,-0.005749339473936266
